parameter,value,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
epsilon,0.10,20355731,152.106250,0.000000,0.000000,0,0.000000,24337,6375,0.261947,857,2.010277,137,1330558.119824
epsilon,0.10,20363650,148.981250,0.000000,0.000000,2,0.036570,23837,6262,0.262701,901,2.839019,144,1308709.623310
epsilon,0.10,20371569,153.706250,0.000000,0.000000,3,0.051987,24593,6367,0.258895,867,2.936702,139,1210346.476495
epsilon,0.10,20379488,157.031250,0.000000,0.000000,3,0.010693,25125,6419,0.255483,841,3.875085,144,1264682.043709
epsilon,0.10,20387407,150.931250,0.000000,0.000000,2,0.021839,24149,6198,0.256657,883,2.521046,138,1294164.204825
epsilon,0.10,20395326,155.912500,0.000000,0.000000,3,0.038284,24946,6325,0.253548,926,2.110126,149,1332171.253632
epsilon,0.10,20403245,150.006250,0.000000,0.000000,6,0.062383,24001,6324,0.263489,776,2.071844,135,1246813.517478
epsilon,0.10,20411164,152.275000,0.000000,0.000000,1,0.000430,24364,6406,0.262929,910,3.036350,145,1323601.036639
lateness_lambda,10,20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,3.497882,147,1253809.770501
lateness_lambda,10,20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,4.667140,137,1323085.382602
lateness_lambda,10,20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,5.118678,146,1354788.901899
lateness_lambda,10,20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,3.373372,135,1362972.916403
lateness_lambda,10,20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,2.611322,124,1227041.175380
lateness_lambda,10,20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,3.648817,137,1242634.069832
lateness_lambda,10,20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,3.022375,142,1360328.349201
lateness_lambda,10,20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,3.228921,141,1252970.112804
lateness_lambda,10,20324055,152.068750,0.000000,0.000000,0,0.000000,24331,3961,0.162796,856,2.905015,147,1306738.385066
lateness_lambda,10,20331974,149.056250,0.000000,0.000000,1,0.006086,23849,3929,0.164745,815,3.001573,138,1316794.870937
lateness_lambda,10,20339893,149.912500,0.000000,0.000000,3,0.030440,23986,3980,0.165930,776,3.336157,149,1207364.114896
lateness_lambda,10,20347812,149.631250,0.000000,0.000000,1,0.001507,23941,3909,0.163276,803,3.675498,148,1253901.513095
lateness_lambda,10,20355731,152.662500,0.000000,0.000000,1,0.003435,24426,4026,0.164824,814,4.890138,139,1330258.119824
lateness_lambda,10,20363650,149.793750,0.000000,0.000000,1,0.032097,23967,3962,0.165311,760,3.684047,145,1307809.623310
lateness_lambda,10,20371569,153.193750,0.000000,0.000000,3,0.057966,24511,4027,0.164294,773,3.490511,140,1210046.476495
lateness_lambda,10,20379488,154.425000,0.000000,0.000000,1,0.008511,24708,4044,0.163672,757,3.715312,146,1264982.043709
lateness_lambda,10,20387407,151.818750,0.000000,0.000000,0,0.000000,24291,4001,0.164711,737,3.269695,138,1294764.204825
lateness_lambda,10,20395326,154.362500,0.000000,0.000000,1,0.004984,24698,4144,0.167787,804,3.474950,151,1332771.253632
lateness_lambda,10,20403245,148.781250,0.000000,0.000000,0,0.000000,23805,3886,0.163243,747,1.392976,133,1246513.517478
lateness_lambda,10,20411164,151.893750,0.000000,0.000000,1,0.015925,24303,4025,0.165617,802,1.912837,147,1323301.036639
lateness_lambda,100,20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,2.257200,147,1253809.770501
lateness_lambda,100,20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,2.040695,137,1323085.382602
lateness_lambda,100,20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,2.025281,146,1354788.901899
